phase_group,level,psi_p_deg,p_osc_over_p_av,source_pdf_page,source_print_page,method
A_C,1,-0,0.05,240,236,manual_trace_from_scanned_figure_grid_knots
A_C,1,-120,0.05,240,236,manual_trace_from_scanned_figure_grid_knots
A_C,1,-200,0.25,240,236,manual_trace_from_scanned_figure_grid_knots
A_C,1,-270,0.25,240,236,manual_trace_from_scanned_figure_grid_knots
A_C,1,-360,0.05,240,236,manual_trace_from_scanned_figure_grid_knots
A_C,2,-0,0.10,240,236,manual_trace_from_scanned_figure_grid_knots
A_C,2,-120,0.10,240,236,manual_trace_from_scanned_figure_grid_knots
A_C,2,-200,0.60,240,236,manual_trace_from_scanned_figure_grid_knots
A_C,2,-270,0.60,240,236,manual_trace_from_scanned_figure_grid_knots
A_C,2,-360,0.10,240,236,manual_trace_from_scanned_figure_grid_knots
