round,driver,dataset_rows,validation_action_rmse,validation_student_minus_teacher_rmse_deg_s,student_improvement_rate,student_harm_rate,student_peak_error_deg_s,student_requested_force_variation_n,student_teacher_force_variation_ratio
0,teacher,264000,0.03519936804149127,0.23041104179561822,1.0,0.0,4.756889597987018,249.98539378064905,2.1326327292458376
1,student,792000,0.05411746398745175,0.17054071719513966,1.0,0.0,5.448089146580814,297.7780532771463,2.540353309710494
2,student,1320000,0.058593893953396994,0.1893039166083696,1.0,0.0,7.483826388255367,173.0005109572893,1.475872435041154
